date,geography,industry,characteristics,estimate
July 2020,Canada,Construction,Employment,1440.2
July 2020,Canada,Construction,Labour force,1576.9
July 2020,Canada,Digital Economy,Employment,2004.4
July 2020,Canada,Digital Economy,Labour force,2159.8
July 2020,Canada,Educational services,Employment,1071.4
July 2020,Canada,Educational services,Labour force,1240.6
July 2020,Canada,"Finance, insurance,",Employment,912.20001
July 2020,Canada,"Finance, insurance,",Labour force,945.5
July 2020,Canada,"Forestry, fishing,",Employment,90.699997
July 2020,Canada,"Forestry, fishing,",Labour force,99.199997
July 2020,Canada,Health care and social assistance,Employment,2468.1001
July 2020,Canada,Health care and social assistance,Labour force,2568.2
July 2020,Canada,Information and Communication Technologies,Employment,1000.8
July 2020,Canada,Information and Communication Technologies,Labour force,1070.3
July 2020,Canada,"Information, culture and recreation",Employment,756.70001
July 2020,Canada,"Information, culture and recreation",Labour force,892.79999
July 2020,Canada,Manufacturing,Employment,1687.5
July 2020,Canada,Manufacturing,Labour force,1819.2
July 2020,Canada,"Mining, quarrying, oil and gas",Employment,229
July 2020,Canada,"Mining, quarrying, oil and gas",Labour force,255.89999
July 2020,Canada,Other services,Employment,740.70001
July 2020,Canada,Other services,Labour force,797
July 2020,Canada,"Professional, scientific and technical services",Employment,1524.4
July 2020,Canada,"Professional, scientific and technical services",Labour force,1641.5
July 2020,Canada,Public administration,Employment,1011.7
July 2020,Canada,Public administration,Labour force,1041.4
July 2020,Canada,Real estate and leasing,Employment,318.89999
July 2020,Canada,Real estate and leasing,Labour force,341.79999
July 2020,Canada,"Total, all industries",Employment,18038.4
July 2020,Canada,"Total, all industries",Labour force,20331.699
July 2020,Canada,Trade,Employment,2742.8
July 2020,Canada,Trade,Labour force,3010.1001
July 2020,Canada,Transportation and warehousing,Employment,920.29999
July 2020,Canada,Transportation and warehousing,Labour force,1011.9
July 2020,Canada,Utilities,Employment,136.39999
July 2020,Canada,Utilities,Labour force,138.10001
July 2020,Manitoba,Accommodation and food services,Employment,38.900002
July 2020,Manitoba,Accommodation and food services,Labour force,43.099998
July 2020,Manitoba,Agriculture,Employment,25.9
July 2020,Manitoba,Agriculture,Labour force,26.299999
July 2020,Manitoba,"Business, building and other support services",Employment,23.4
July 2020,Manitoba,"Business, building and other support services",Labour force,26.799999
July 2020,Manitoba,Construction,Employment,50.200001
July 2020,Manitoba,Construction,Labour force,53
July 2020,Manitoba,Digital Economy,Employment,46.5
July 2020,Manitoba,Digital Economy,Labour force,48
July 2020,Manitoba,Educational services,Employment,41.400002
July 2020,Manitoba,Educational services,Labour force,48.5
July 2020,Manitoba,"Finance, insurance,",Employment,23.700001
July 2020,Manitoba,"Finance, insurance,",Labour force,24
July 2020,Manitoba,"Forestry, fishing,",Employment,.89999998
July 2020,Manitoba,"Forestry, fishing,",Labour force,.89999998
July 2020,Manitoba,Health care and social assistance,Employment,100.7
July 2020,Manitoba,Health care and social assistance,Labour force,103.1
July 2020,Manitoba,Information and Communication Technologies,Employment,17.799999
July 2020,Manitoba,Information and Communication Technologies,Labour force,18.799999
July 2020,Manitoba,"Information, culture and recreation",Employment,23.200001
July 2020,Manitoba,"Information, culture and recreation",Labour force,25.9
July 2020,Manitoba,Manufacturing,Employment,59.900002
July 2020,Manitoba,Manufacturing,Labour force,64.400002
July 2020,Manitoba,"Mining, quarrying, oil and gas",Employment,4.3000002
July 2020,Manitoba,"Mining, quarrying, oil and gas",Labour force,4.9000001
July 2020,Manitoba,Other services,Employment,29.9
July 2020,Manitoba,Other services,Labour force,32.400002
July 2020,Manitoba,"Professional, scientific and technical services",Employment,33.299999
July 2020,Manitoba,"Professional, scientific and technical services",Labour force,35.099998
July 2020,Manitoba,Public administration,Employment,38.299999
July 2020,Manitoba,Public administration,Labour force,39
July 2020,Manitoba,Real estate and leasing,Employment,10.5
July 2020,Manitoba,Real estate and leasing,Labour force,10.7
July 2020,Manitoba,"Total, all industries",Employment,635.29999
July 2020,Manitoba,"Total, all industries",Labour force,700.40002
July 2020,Manitoba,Trade,Employment,88.5
July 2020,Manitoba,Trade,Labour force,95.5
July 2020,Manitoba,Transportation and warehousing,Employment,36.799999
July 2020,Manitoba,Transportation and warehousing,Labour force,41.200001
July 2020,Manitoba,Utilities,Employment,5.5999999
July 2020,Manitoba,Utilities,Labour force,5.5999999
July 2020,New Brunswick,Accommodation and food services,Employment,22.799999
July 2020,New Brunswick,Accommodation and food services,Labour force,26
July 2020,New Brunswick,Agriculture,Employment,6.4000001
July 2020,New Brunswick,Agriculture,Labour force,7.3000002
July 2020,New Brunswick,"Business, building and other support services",Employment,15
July 2020,New Brunswick,"Business, building and other support services",Labour force,16.5
July 2020,New Brunswick,Construction,Employment,27.799999
July 2020,New Brunswick,Construction,Labour force,31.200001
July 2020,New Brunswick,Digital Economy,Employment,28.299999
July 2020,New Brunswick,Digital Economy,Labour force,29.699999
July 2020,New Brunswick,Educational services,Employment,22
July 2020,New Brunswick,Educational services,Labour force,25
July 2020,New Brunswick,"Finance, insurance,",Employment,12.5
July 2020,New Brunswick,"Finance, insurance,",Labour force,13.1
July 2020,New Brunswick,"Forestry, fishing,",Employment,9.3000002
July 2020,New Brunswick,"Forestry, fishing,",Labour force,9.8000002
July 2020,New Brunswick,Health care and social assistance,Employment,60.599998
July 2020,New Brunswick,Health care and social assistance,Labour force,61.200001
July 2020,New Brunswick,Information and Communication Technologies,Employment,11.1
July 2020,New Brunswick,Information and Communication Technologies,Labour force,11.7
July 2020,New Brunswick,"Information, culture and recreation",Employment,12
July 2020,New Brunswick,"Information, culture and recreation",Labour force,12.8
July 2020,New Brunswick,Manufacturing,Employment,31.9
July 2020,New Brunswick,Manufacturing,Labour force,36.400002
July 2020,New Brunswick,"Mining, quarrying, oil and gas",Employment,2
July 2020,New Brunswick,"Mining, quarrying, oil and gas",Labour force,2.8
July 2020,New Brunswick,Other services,Employment,13.5
July 2020,New Brunswick,Other services,Labour force,14.5
July 2020,New Brunswick,"Professional, scientific and technical services",Employment,17.9
July 2020,New Brunswick,"Professional, scientific and technical services",Labour force,18.799999
July 2020,New Brunswick,Public administration,Employment,30
July 2020,New Brunswick,Public administration,Labour force,30.299999
July 2020,New Brunswick,Real estate and leasing,Employment,4.0999999
July 2020,New Brunswick,Real estate and leasing,Labour force,4.1999998
July 2020,New Brunswick,"Total, all industries",Employment,365.20001
July 2020,New Brunswick,"Total, all industries",Labour force,402.79999
July 2020,New Brunswick,Trade,Employment,57.5
July 2020,New Brunswick,Trade,Labour force,63
July 2020,New Brunswick,Transportation and warehousing,Employment,16.5
July 2020,New Brunswick,Transportation and warehousing,Labour force,17.4
July 2020,New Brunswick,Utilities,Employment,3.5
July 2020,New Brunswick,Utilities,Labour force,3.8
July 2020,Newfoundland and Labrador,Accommodation and food services,Employment,17.1
July 2020,Newfoundland and Labrador,Accommodation and food services,Labour force,20.1
July 2020,Newfoundland and Labrador,Agriculture,Employment,1.5
July 2020,Newfoundland and Labrador,Agriculture,Labour force,1.6
July 2020,Newfoundland and Labrador,"Business, building and other support services",Employment,7.8000002
July 2020,Newfoundland and Labrador,"Business, building and other support services",Labour force,10.3
July 2020,Newfoundland and Labrador,Construction,Employment,16.799999
July 2020,Newfoundland and Labrador,Construction,Labour force,23.200001
July 2020,Newfoundland and Labrador,Digital Economy,Employment,13.2
July 2020,Newfoundland and Labrador,Digital Economy,Labour force,16.1
July 2020,Newfoundland and Labrador,Educational services,Employment,11.8
July 2020,Newfoundland and Labrador,Educational services,Labour force,14.4
July 2020,Newfoundland and Labrador,"Finance, insurance,",Employment,5.1999998
July 2020,Newfoundland and Labrador,"Finance, insurance,",Labour force,5.1999998
July 2020,Newfoundland and Labrador,"Forestry, fishing,",Employment,6.0999999
July 2020,Newfoundland and Labrador,"Forestry, fishing,",Labour force,6.9000001
July 2020,Newfoundland and Labrador,Health care and social assistance,Employment,40
July 2020,Newfoundland and Labrador,Health care and social assistance,Labour force,41.700001
July 2020,Newfoundland and Labrador,Information and Communication Technologies,Employment,4.6999998
July 2020,Newfoundland and Labrador,Information and Communication Technologies,Labour force,5.6999998
July 2020,Newfoundland and Labrador,"Information, culture and recreation",Employment,8
July 2020,Newfoundland and Labrador,"Information, culture and recreation",Labour force,9.6999998
July 2020,Newfoundland and Labrador,Manufacturing,Employment,8.8000002
July 2020,Newfoundland and Labrador,Manufacturing,Labour force,10.7
July 2020,Newfoundland and Labrador,"Mining, quarrying, oil and gas",Employment,7.9000001
July 2020,Newfoundland and Labrador,"Mining, quarrying, oil and gas",Labour force,10.6
July 2020,Newfoundland and Labrador,Other services,Employment,10.4
July 2020,Newfoundland and Labrador,Other services,Labour force,12.2
July 2020,Newfoundland and Labrador,"Professional, scientific and technical services",Employment,10.1
July 2020,Newfoundland and Labrador,"Professional, scientific and technical services",Labour force,11
July 2020,Newfoundland and Labrador,Public administration,Employment,18.299999
July 2020,Newfoundland and Labrador,Public administration,Labour force,19.700001
July 2020,Newfoundland and Labrador,Real estate and leasing,Employment,3.4000001
July 2020,Newfoundland and Labrador,Real estate and leasing,Labour force,3.5999999
July 2020,Newfoundland and Labrador,"Total, all industries",Employment,219.10001
July 2020,Newfoundland and Labrador,"Total, all industries",Labour force,258.20001
July 2020,Newfoundland and Labrador,Trade,Employment,32.799999
July 2020,Newfoundland and Labrador,Trade,Labour force,36.099998
July 2020,Newfoundland and Labrador,Transportation and warehousing,Employment,10.7
July 2020,Newfoundland and Labrador,Transportation and warehousing,Labour force,11.4
July 2020,Newfoundland and Labrador,Utilities,Employment,2.5999999
July 2020,Newfoundland and Labrador,Utilities,Labour force,2.5999999
July 2020,Nova Scotia,Accommodation and food services,Employment,28
July 2020,Nova Scotia,Accommodation and food services,Labour force,32.599998
July 2020,Nova Scotia,Agriculture,Employment,6.3000002
July 2020,Nova Scotia,Agriculture,Labour force,6.5999999
July 2020,Nova Scotia,"Business, building and other support services",Employment,19
July 2020,Nova Scotia,"Business, building and other support services",Labour force,22.5
July 2020,Nova Scotia,Construction,Employment,33.5
July 2020,Nova Scotia,Construction,Labour force,37
July 2020,Nova Scotia,Digital Economy,Employment,40.5
July 2020,Nova Scotia,Digital Economy,Labour force,43.099998
July 2020,Nova Scotia,Educational services,Employment,30.200001
July 2020,Nova Scotia,Educational services,Labour force,34.900002
July 2020,Nova Scotia,"Finance, insurance,",Employment,14.3
July 2020,Nova Scotia,"Finance, insurance,",Labour force,15.2
July 2020,Nova Scotia,"Forestry, fishing,",Employment,8.8000002
July 2020,Nova Scotia,"Forestry, fishing,",Labour force,10.9
July 2020,Nova Scotia,Health care and social assistance,Employment,72.599998
July 2020,Nova Scotia,Health care and social assistance,Labour force,75.800003
July 2020,Nova Scotia,Information and Communication Technologies,Employment,21.700001
July 2020,Nova Scotia,Information and Communication Technologies,Labour force,23.200001
July 2020,Nova Scotia,"Information, culture and recreation",Employment,18.299999
July 2020,Nova Scotia,"Information, culture and recreation",Labour force,19.6
July 2020,Nova Scotia,Manufacturing,Employment,32.799999
July 2020,Nova Scotia,Manufacturing,Labour force,35.5
July 2020,Nova Scotia,"Mining, quarrying, oil and gas",Employment,3.7
July 2020,Nova Scotia,"Mining, quarrying, oil and gas",Labour force,4.5
July 2020,Nova Scotia,Other services,Employment,15.7
July 2020,Nova Scotia,Other services,Labour force,18.200001
July 2020,Nova Scotia,"Professional, scientific and technical services",Employment,29.200001
July 2020,Nova Scotia,"Professional, scientific and technical services",Labour force,31.299999
July 2020,Nova Scotia,Public administration,Employment,31.700001
July 2020,Nova Scotia,Public administration,Labour force,32.599998
July 2020,Nova Scotia,Real estate and leasing,Employment,7
July 2020,Nova Scotia,Real estate and leasing,Labour force,7
July 2020,Nova Scotia,"Total, all industries",Employment,443.29999
July 2020,Nova Scotia,"Total, all industries",Labour force,495.10001
July 2020,Nova Scotia,Trade,Employment,70.699997
July 2020,Nova Scotia,Trade,Labour force,75.900002
July 2020,Nova Scotia,Transportation and warehousing,Employment,18.4
July 2020,Nova Scotia,Transportation and warehousing,Labour force,20.1
July 2020,Nova Scotia,Utilities,Employment,3.2
July 2020,Nova Scotia,Utilities,Labour force,3.3
July 2020,Ontario,Accommodation and food services,Employment,311.89999
July 2020,Ontario,Accommodation and food services,Labour force,399
July 2020,Ontario,Agriculture,Employment,77
July 2020,Ontario,Agriculture,Labour force,81.699997
July 2020,Ontario,"Business, building and other support services",Employment,305.29999
July 2020,Ontario,"Business, building and other support services",Labour force,347.5
July 2020,Ontario,Construction,Employment,534.79999
July 2020,Ontario,Construction,Labour force,580.79999
July 2020,Ontario,Digital Economy,Employment,898.89996
July 2020,Ontario,Digital Economy,Labour force,973
July 2020,Ontario,Educational services,Employment,410
July 2020,Ontario,Educational services,Labour force,472.60001
July 2020,Ontario,"Finance, insurance,",Employment,458.10001
July 2020,Ontario,"Finance, insurance,",Labour force,478.60001
July 2020,Ontario,"Forestry, fishing,",Employment,11.1
July 2020,Ontario,"Forestry, fishing,",Labour force,11.7
July 2020,Ontario,Health care and social assistance,Employment,870.40002
July 2020,Ontario,Health care and social assistance,Labour force,909.20001
July 2020,Ontario,Information and Communication Technologies,Employment,453.29999
July 2020,Ontario,Information and Communication Technologies,Labour force,484
July 2020,Ontario,"Information, culture and recreation",Employment,292.29999
July 2020,Ontario,"Information, culture and recreation",Labour force,358.29999
July 2020,Ontario,Manufacturing,Employment,734.09998
July 2020,Ontario,Manufacturing,Labour force,794.5
July 2020,Ontario,"Mining, quarrying, oil and gas",Employment,30.700001
July 2020,Ontario,"Mining, quarrying, oil and gas",Labour force,32.400002
July 2020,Ontario,Other services,Employment,282.79999
July 2020,Ontario,Other services,Labour force,308.5
July 2020,Ontario,"Professional, scientific and technical services",Employment,655.20001
July 2020,Ontario,"Professional, scientific and technical services",Labour force,709.20001
July 2020,Ontario,Public administration,Employment,387.20001
July 2020,Ontario,Public administration,Labour force,402.60001
July 2020,Ontario,Real estate and leasing,Employment,145
July 2020,Ontario,Real estate and leasing,Labour force,155.60001
July 2020,Ontario,"Total, all industries",Employment,6951.2998
July 2020,Ontario,"Total, all industries",Labour force,7919.7998
July 2020,Ontario,Trade,Employment,1051.7
July 2020,Ontario,Trade,Labour force,1161.2
July 2020,Ontario,Transportation and warehousing,Employment,343.39999
July 2020,Ontario,Transportation and warehousing,Labour force,385.89999
July 2020,Ontario,Utilities,Employment,50.099998
July 2020,Ontario,Utilities,Labour force,50.700001
July 2020,Prince Edward Island,Accommodation and food services,Employment,4.3000002
July 2020,Prince Edward Island,Accommodation and food services,Labour force,6.0999999
July 2020,Prince Edward Island,Agriculture,Employment,4.1999998
July 2020,Prince Edward Island,Agriculture,Labour force,4.4000001
July 2020,Prince Edward Island,"Business, building and other support services",Employment,1.6
July 2020,Prince Edward Island,"Business, building and other support services",Labour force,1.7
July 2020,Prince Edward Island,Construction,Employment,7.6999998
July 2020,Prince Edward Island,Construction,Labour force,8.3999996
July 2020,Prince Edward Island,Digital Economy,Employment,5.1999998
July 2020,Prince Edward Island,Digital Economy,Labour force,5.1999998
July 2020,Prince Edward Island,Educational services,Employment,4.3000002
July 2020,Prince Edward Island,Educational services,Labour force,5.1999998
July 2020,Prince Edward Island,"Finance, insurance,",Employment,2.5
July 2020,Prince Edward Island,"Finance, insurance,",Labour force,2.5999999
July 2020,Prince Edward Island,"Forestry, fishing,",Employment,1.6
July 2020,Prince Edward Island,"Forestry, fishing,",Labour force,2.5
July 2020,Prince Edward Island,Health care and social assistance,Employment,11.7
July 2020,Prince Edward Island,Health care and social assistance,Labour force,11.8
July 2020,Prince Edward Island,Information and Communication Technologies,Employment,2.5
July 2020,Prince Edward Island,Information and Communication Technologies,Labour force,2.5
July 2020,Prince Edward Island,"Information, culture and recreation",Employment,3.4000001
July 2020,Prince Edward Island,"Information, culture and recreation",Labour force,3.5999999
July 2020,Prince Edward Island,Manufacturing,Employment,7.3000002
July 2020,Prince Edward Island,Manufacturing,Labour force,7.8000002
July 2020,Prince Edward Island,"Mining, quarrying, oil and gas",Employment,.2
July 2020,Prince Edward Island,"Mining, quarrying, oil and gas",Labour force,.2
July 2020,Prince Edward Island,Other services,Employment,3.7
July 2020,Prince Edward Island,Other services,Labour force,3.9000001
July 2020,Prince Edward Island,"Professional, scientific and technical services",Employment,4.4000001
July 2020,Prince Edward Island,"Professional, scientific and technical services",Labour force,4.6999998
July 2020,Prince Edward Island,Public administration,Employment,8.6000004
July 2020,Prince Edward Island,Public administration,Labour force,8.8000002
July 2020,Prince Edward Island,Real estate and leasing,Employment,.60000002
July 2020,Prince Edward Island,Real estate and leasing,Labour force,.69999999
July 2020,Prince Edward Island,"Total, all industries",Employment,80.400002
July 2020,Prince Edward Island,"Total, all industries",Labour force,89.699997
July 2020,Prince Edward Island,Trade,Employment,11.1
July 2020,Prince Edward Island,Trade,Labour force,11.9
July 2020,Prince Edward Island,Transportation and warehousing,Employment,2.7
July 2020,Prince Edward Island,Transportation and warehousing,Labour force,3
July 2020,Prince Edward Island,Utilities,Employment,.30000001
July 2020,Prince Edward Island,Utilities,Labour force,.30000001
July 2020,Quebec,Accommodation and food services,Employment,219.2
July 2020,Quebec,Accommodation and food services,Labour force,270.20001
July 2020,Quebec,Agriculture,Employment,59.099998
July 2020,Quebec,Agriculture,Labour force,61.799999
July 2020,Quebec,"Business, building and other support services",Employment,167.3
July 2020,Quebec,"Business, building and other support services",Labour force,193.5
July 2020,Quebec,Construction,Employment,276.60001
July 2020,Quebec,Construction,Labour force,297.29999
July 2020,Quebec,Digital Economy,Employment,476.30002
July 2020,Quebec,Digital Economy,Labour force,499.39999
July 2020,Quebec,Educational services,Employment,262.5
July 2020,Quebec,Educational services,Labour force,304.79999
July 2020,Quebec,"Finance, insurance,",Employment,199
July 2020,Quebec,"Finance, insurance,",Labour force,202.10001
July 2020,Quebec,"Forestry, fishing,",Employment,20.9
July 2020,Quebec,"Forestry, fishing,",Labour force,22.1
July 2020,Quebec,Health care and social assistance,Employment,615.29999
July 2020,Quebec,Health care and social assistance,Labour force,632.70001
July 2020,Quebec,Information and Communication Technologies,Employment,246.60001
July 2020,Quebec,Information and Communication Technologies,Labour force,254.89999
July 2020,Quebec,"Information, culture and recreation",Employment,184.3
July 2020,Quebec,"Information, culture and recreation",Labour force,207.60001
July 2020,Quebec,Manufacturing,Employment,490.60001
July 2020,Quebec,Manufacturing,Labour force,517.5
July 2020,Quebec,"Mining, quarrying, oil and gas",Employment,19.799999
July 2020,Quebec,"Mining, quarrying, oil and gas",Labour force,20.700001
July 2020,Quebec,Other services,Employment,150.5
July 2020,Quebec,Other services,Labour force,156.8
July 2020,Quebec,"Professional, scientific and technical services",Employment,339.39999
July 2020,Quebec,"Professional, scientific and technical services",Labour force,355.79999
July 2020,Quebec,Public administration,Employment,236.3
July 2020,Quebec,Public administration,Labour force,240.60001
July 2020,Quebec,Real estate and leasing,Employment,47.5
July 2020,Quebec,Real estate and leasing,Labour force,51.599998
July 2020,Quebec,"Total, all industries",Employment,4178.5
July 2020,Quebec,"Total, all industries",Labour force,4605.3999
July 2020,Quebec,Trade,Employment,653.09998
July 2020,Quebec,Trade,Labour force,705.70001
July 2020,Quebec,Transportation and warehousing,Employment,214.10001
July 2020,Quebec,Transportation and warehousing,Labour force,230.10001
July 2020,Quebec,Utilities,Employment,23.1
July 2020,Quebec,Utilities,Labour force,23.5
July 2020,Saskatchewan,Accommodation and food services,Employment,27.4
July 2020,Saskatchewan,Accommodation and food services,Labour force,30
July 2020,Saskatchewan,Agriculture,Employment,37.799999
July 2020,Saskatchewan,Agriculture,Labour force,38.400002
July 2020,Saskatchewan,"Business, building and other support services",Employment,17.1
July 2020,Saskatchewan,"Business, building and other support services",Labour force,17.6
July 2020,Saskatchewan,Construction,Employment,43.400002
July 2020,Saskatchewan,Construction,Labour force,48.599998
July 2020,Saskatchewan,Digital Economy,Employment,36.200001
July 2020,Saskatchewan,Digital Economy,Labour force,39.5
July 2020,Saskatchewan,Educational services,Employment,32.599998
July 2020,Saskatchewan,Educational services,Labour force,37.099998
July 2020,Saskatchewan,"Finance, insurance,",Employment,22.4
July 2020,Saskatchewan,"Finance, insurance,",Labour force,23
July 2020,Saskatchewan,"Forestry, fishing,",Employment,.80000001
July 2020,Saskatchewan,"Forestry, fishing,",Labour force,.80000001
July 2020,Saskatchewan,Health care and social assistance,Employment,80.900002
July 2020,Saskatchewan,Health care and social assistance,Labour force,84.800003
July 2020,Saskatchewan,Information and Communication Technologies,Employment,15.9
July 2020,Saskatchewan,Information and Communication Technologies,Labour force,16.799999
July 2020,Saskatchewan,"Information, culture and recreation",Employment,20.9
July 2020,Saskatchewan,"Information, culture and recreation",Labour force,24.700001
July 2020,Saskatchewan,Manufacturing,Employment,32.200001
July 2020,Saskatchewan,Manufacturing,Labour force,34
July 2020,Saskatchewan,"Mining, quarrying, oil and gas",Employment,19.9
July 2020,Saskatchewan,"Mining, quarrying, oil and gas",Labour force,22.200001
July 2020,Saskatchewan,Other services,Employment,30
July 2020,Saskatchewan,Other services,Labour force,32.099998
July 2020,Saskatchewan,"Professional, scientific and technical services",Employment,25.799999
July 2020,Saskatchewan,"Professional, scientific and technical services",Labour force,28.9
July 2020,Saskatchewan,Public administration,Employment,36.5
July 2020,Saskatchewan,Public administration,Labour force,36.900002
July 2020,Saskatchewan,Real estate and leasing,Employment,7.5
July 2020,Saskatchewan,Real estate and leasing,Labour force,8
July 2020,Saskatchewan,"Total, all industries",Employment,549
July 2020,Saskatchewan,"Total, all industries",Labour force,605.59998
July 2020,Saskatchewan,Trade,Employment,83.5
July 2020,Saskatchewan,Trade,Labour force,91.699997
July 2020,Saskatchewan,Transportation and warehousing,Employment,24.6
July 2020,Saskatchewan,Transportation and warehousing,Labour force,25.700001
July 2020,Saskatchewan,Utilities,Employment,5.9000001
July 2020,Saskatchewan,Utilities,Labour force,6.0999999
June 2020,Alberta,Accommodation and food services,Employment,99.099998
June 2020,Alberta,Accommodation and food services,Labour force,134.7
June 2020,Alberta,Agriculture,Employment,44.299999
June 2020,Alberta,Agriculture,Labour force,45.799999
June 2020,Alberta,"Business, building and other support services",Employment,79.099998
June 2020,Alberta,"Business, building and other support services",Labour force,87.699997
June 2020,Alberta,Construction,Employment,211.60001
June 2020,Alberta,Construction,Labour force,256.60001
June 2020,Alberta,Digital Economy,Employment,210.5
June 2020,Alberta,Digital Economy,Labour force,234.10001
June 2020,Alberta,Educational services,Employment,135.3
June 2020,Alberta,Educational services,Labour force,158.2
June 2020,Alberta,"Finance, insurance,",Employment,71.699997
June 2020,Alberta,"Finance, insurance,",Labour force,72.599998
June 2020,Alberta,"Forestry, fishing,",Employment,4
June 2020,Alberta,"Forestry, fishing,",Labour force,5
June 2020,Alberta,Health care and social assistance,Employment,292.29999
June 2020,Alberta,Health care and social assistance,Labour force,306.70001
June 2020,Alberta,Information and Communication Technologies,Employment,78
June 2020,Alberta,Information and Communication Technologies,Labour force,83.599998
June 2020,Alberta,"Information, culture and recreation",Employment,77.300003
June 2020,Alberta,"Information, culture and recreation",Labour force,99.199997
June 2020,Alberta,Manufacturing,Employment,117.2
June 2020,Alberta,Manufacturing,Labour force,129.10001
June 2020,Alberta,"Mining, quarrying, oil and gas",Employment,119.2
June 2020,Alberta,"Mining, quarrying, oil and gas",Labour force,144.7
June 2020,Alberta,Other services,Employment,94.699997
June 2020,Alberta,Other services,Labour force,104.3
June 2020,Alberta,"Professional, scientific and technical services",Employment,162
June 2020,Alberta,"Professional, scientific and technical services",Labour force,180.2
June 2020,Alberta,Public administration,Employment,104.9
June 2020,Alberta,Public administration,Labour force,109
June 2020,Alberta,Real estate and leasing,Employment,41.299999
June 2020,Alberta,Real estate and leasing,Labour force,42.5
June 2020,Alberta,"Total, all industries",Employment,2085.5
June 2020,Alberta,"Total, all industries",Labour force,2446.3999
June 2020,Alberta,Trade,Employment,296.79999
June 2020,Alberta,Trade,Labour force,348.39999
June 2020,Alberta,Transportation and warehousing,Employment,112.8
June 2020,Alberta,Transportation and warehousing,Labour force,128.10001
June 2020,Alberta,Utilities,Employment,22
June 2020,Alberta,Utilities,Labour force,22
June 2020,British Columbia,Accommodation and food services,Employment,164.5
June 2020,British Columbia,Accommodation and food services,Labour force,217.5
June 2020,British Columbia,Agriculture,Employment,29
June 2020,British Columbia,Agriculture,Labour force,32.200001
June 2020,British Columbia,"Business, building and other support services",Employment,86.599998
June 2020,British Columbia,"Business, building and other support services",Labour force,98.900002
June 2020,British Columbia,Construction,Employment,219.10001
June 2020,British Columbia,Construction,Labour force,238.89999
June 2020,British Columbia,Digital Economy,Employment,260.89999
June 2020,British Columbia,Digital Economy,Labour force,287.89999
June 2020,British Columbia,Educational services,Employment,180.89999
June 2020,British Columbia,Educational services,Labour force,193.39999
June 2020,British Columbia,"Finance, insurance,",Employment,107.4
June 2020,British Columbia,"Finance, insurance,",Labour force,115.4
June 2020,British Columbia,"Forestry, fishing,",Employment,25.700001
June 2020,British Columbia,"Forestry, fishing,",Labour force,27.299999
June 2020,British Columbia,Health care and social assistance,Employment,322.60001
June 2020,British Columbia,Health care and social assistance,Labour force,336
June 2020,British Columbia,Information and Communication Technologies,Employment,140.5
June 2020,British Columbia,Information and Communication Technologies,Labour force,158.39999
June 2020,British Columbia,"Information, culture and recreation",Employment,99.300003
June 2020,British Columbia,"Information, culture and recreation",Labour force,126.4
June 2020,British Columbia,Manufacturing,Employment,159.7
June 2020,British Columbia,Manufacturing,Labour force,186.2
June 2020,British Columbia,"Mining, quarrying, oil and gas",Employment,20.299999
June 2020,British Columbia,"Mining, quarrying, oil and gas",Labour force,22
June 2020,British Columbia,Other services,Employment,93.900002
June 2020,British Columbia,Other services,Labour force,102.5
June 2020,British Columbia,"Professional, scientific and technical services",Employment,240.60001
June 2020,British Columbia,"Professional, scientific and technical services",Labour force,258.39999
June 2020,British Columbia,Public administration,Employment,120.5
June 2020,British Columbia,Public administration,Labour force,125.4
June 2020,British Columbia,Real estate and leasing,Employment,52
June 2020,British Columbia,Real estate and leasing,Labour force,53.099998
June 2020,British Columbia,"Total, all industries",Employment,2431.5
June 2020,British Columbia,"Total, all industries",Labour force,2779.6001
June 2020,British Columbia,Trade,Employment,358.20001
June 2020,British Columbia,Trade,Labour force,402.39999
June 2020,British Columbia,Transportation and warehousing,Employment,131.5
June 2020,British Columbia,Transportation and warehousing,Labour force,151.39999
June 2020,British Columbia,Utilities,Employment,20.1
June 2020,British Columbia,Utilities,Labour force,20.1
June 2020,Canada,Accommodation and food services,Employment,851.40002
June 2020,Canada,Accommodation and food services,Labour force,1155.7
June 2020,Canada,Agriculture,Employment,292
June 2020,Canada,Agriculture,Labour force,304.10001
June 2020,Canada,"Business, building and other support services",Employment,736.20001
June 2020,Canada,"Business, building and other support services",Labour force,831.70001
June 2020,Canada,Construction,Employment,1392.7
June 2020,Canada,Construction,Labour force,1551.9
June 2020,Canada,Digital Economy,Employment,1926
June 2020,Canada,Digital Economy,Labour force,2067.6001
June 2020,Canada,Educational services,Employment,1286.9
June 2020,Canada,Educational services,Labour force,1413.7
June 2020,Canada,"Finance, insurance,",Employment,910
June 2020,Canada,"Finance, insurance,",Labour force,942.5
June 2020,Canada,"Forestry, fishing,",Employment,83.699997
June 2020,Canada,"Forestry, fishing,",Labour force,90.099998
June 2020,Canada,Health care and social assistance,Employment,2430.2
June 2020,Canada,Health care and social assistance,Labour force,2547
June 2020,Canada,Information and Communication Technologies,Employment,953.40002
June 2020,Canada,Information and Communication Technologies,Labour force,1007.4
June 2020,Canada,"Information, culture and recreation",Employment,679.5
June 2020,Canada,"Information, culture and recreation",Labour force,853.79999
June 2020,Canada,Manufacturing,Employment,1652.7
June 2020,Canada,Manufacturing,Labour force,1825.7
June 2020,Canada,"Mining, quarrying, oil and gas",Employment,224.10001
