date,geography,occupation,characteristics,estimate
December 2019,Ontario,5223 Graphic arts technicians,Employment,2.2
December 2019,Ontario,5223 Graphic arts technicians,Labour force,2.2
December 2019,Ontario,5224 Broadcast technicians,Employment,0
December 2019,Ontario,5224 Broadcast technicians,Labour force,0
December 2019,Ontario,5241 Graphic designers and illustrators,Employment,35.299999
December 2019,Ontario,5241 Graphic designers and illustrators,Labour force,35.900002
December 2019,Ontario,7241 Electricians (except industrial and power system),Employment,35.400002
December 2019,Ontario,7241 Electricians (except industrial and power system),Labour force,38
December 2019,Ontario,7242 Industrial electricians,Employment,15.2
December 2019,Ontario,7242 Industrial electricians,Labour force,15.2
December 2019,Ontario,7243 Power system electricians,Employment,2.4000001
December 2019,Ontario,7243 Power system electricians,Labour force,2.7
December 2019,Ontario,7244 Electrical power line and cable workers,Employment,8.1000004
December 2019,Ontario,7244 Electrical power line and cable workers,Labour force,8.1000004
December 2019,Ontario,7245 Telecommunications line and cable workers,Employment,3.7
December 2019,Ontario,7245 Telecommunications line and cable workers,Labour force,3.7
December 2019,Ontario,7246 Telecommunications installation and repair workers,Employment,5.0999999
December 2019,Ontario,7246 Telecommunications installation and repair workers,Labour force,5.0999999
December 2019,Ontario,7247 Cable television service and maintenance technicians,Employment,0
December 2019,Ontario,7247 Cable television service and maintenance technicians,Labour force,0
December 2019,Prince Edward Island,"0015 Senior managers - trade, broadcasting and other services, n.e.c.",Employment,
December 2019,Prince Edward Island,"0015 Senior managers - trade, broadcasting and other services, n.e.c.",Labour force,
December 2019,Prince Edward Island,0211 Engineering managers,Employment,0
December 2019,Prince Edward Island,0211 Engineering managers,Labour force,0
December 2019,Prince Edward Island,0213 Computer and information systems managers,Employment,.40000001
December 2019,Prince Edward Island,0213 Computer and information systems managers,Labour force,.40000001
December 2019,Prince Edward Island,0601 Corporate sales managers,Employment,
December 2019,Prince Edward Island,0601 Corporate sales managers,Labour force,
December 2019,Prince Edward Island,"1123 Professional occupations in advertising, marketing and public relations",Employment,.69999999
December 2019,Prince Edward Island,"1123 Professional occupations in advertising, marketing and public relations",Labour force,.69999999
December 2019,Prince Edward Island,1253 Records management technicians,Employment,
December 2019,Prince Edward Island,1253 Records management technicians,Labour force,
December 2019,Prince Edward Island,2133 Electrical and electronics engineers,Employment,
December 2019,Prince Edward Island,2133 Electrical and electronics engineers,Labour force,
December 2019,Prince Edward Island,2147 Computer engineers (except software engineers and designers),Employment,0
December 2019,Prince Edward Island,2147 Computer engineers (except software engineers and designers),Labour force,0
December 2019,Prince Edward Island,"2148 Other professional engineers, n.e.c.",Employment,0
December 2019,Prince Edward Island,"2148 Other professional engineers, n.e.c.",Labour force,0
December 2019,Prince Edward Island,"2161 Mathematicians, statisticians and actuaries",Employment,
December 2019,Prince Edward Island,"2161 Mathematicians, statisticians and actuaries",Labour force,
December 2019,Prince Edward Island,2171 Information systems analysts and consultants,Employment,.80000001
December 2019,Prince Edward Island,2171 Information systems analysts and consultants,Labour force,.80000001
December 2019,Prince Edward Island,2172 Database analysts and data administrators,Employment,0
December 2019,Prince Edward Island,2172 Database analysts and data administrators,Labour force,0
December 2019,Prince Edward Island,2173 Software engineers and designers,Employment,
December 2019,Prince Edward Island,2173 Software engineers and designers,Labour force,
December 2019,Prince Edward Island,2174 Computer programmers and interactive media developers,Employment,.60000002
December 2019,Prince Edward Island,2174 Computer programmers and interactive media developers,Labour force,.60000002
December 2019,Prince Edward Island,2175 Web designers and developers,Employment,0
December 2019,Prince Edward Island,2175 Web designers and developers,Labour force,0
December 2019,Prince Edward Island,2241 Electrical and electronics engineering technologists and technicians,Employment,.2
December 2019,Prince Edward Island,2241 Electrical and electronics engineering technologists and technicians,Labour force,.2
December 2019,Prince Edward Island,2281 Computer network technicians,Employment,0
December 2019,Prince Edward Island,2281 Computer network technicians,Labour force,0
December 2019,Prince Edward Island,2282 User support technicians,Employment,.69999999
December 2019,Prince Edward Island,2282 User support technicians,Labour force,.69999999
December 2019,Prince Edward Island,2283 Information systems testing technicians,Employment,
December 2019,Prince Edward Island,2283 Information systems testing technicians,Labour force,
December 2019,Prince Edward Island,4163 Business development officers and marketing researchers and consultants,Employment,0
December 2019,Prince Edward Island,4163 Business development officers and marketing researchers and consultants,Labour force,0
December 2019,Prince Edward Island,5223 Graphic arts technicians,Employment,0
December 2019,Prince Edward Island,5223 Graphic arts technicians,Labour force,0
December 2019,Prince Edward Island,5224 Broadcast technicians,Employment,
December 2019,Prince Edward Island,5224 Broadcast technicians,Labour force,
December 2019,Prince Edward Island,5241 Graphic designers and illustrators,Employment,0
December 2019,Prince Edward Island,5241 Graphic designers and illustrators,Labour force,0
December 2019,Prince Edward Island,7241 Electricians (except industrial and power system),Employment,1
December 2019,Prince Edward Island,7241 Electricians (except industrial and power system),Labour force,1
December 2019,Prince Edward Island,7242 Industrial electricians,Employment,.2
December 2019,Prince Edward Island,7242 Industrial electricians,Labour force,.2
December 2019,Prince Edward Island,7243 Power system electricians,Employment,
December 2019,Prince Edward Island,7243 Power system electricians,Labour force,
December 2019,Prince Edward Island,7244 Electrical power line and cable workers,Employment,0
December 2019,Prince Edward Island,7244 Electrical power line and cable workers,Labour force,0
December 2019,Prince Edward Island,7245 Telecommunications line and cable workers,Employment,0
December 2019,Prince Edward Island,7245 Telecommunications line and cable workers,Labour force,0
December 2019,Prince Edward Island,7246 Telecommunications installation and repair workers,Employment,0
December 2019,Prince Edward Island,7246 Telecommunications installation and repair workers,Labour force,0
December 2019,Prince Edward Island,7247 Cable television service and maintenance technicians,Employment,
December 2019,Prince Edward Island,7247 Cable television service and maintenance technicians,Labour force,
December 2019,Quebec,"0015 Senior managers - trade, broadcasting and other services, n.e.c.",Employment,
December 2019,Quebec,"0015 Senior managers - trade, broadcasting and other services, n.e.c.",Labour force,
December 2019,Quebec,0211 Engineering managers,Employment,3.3
December 2019,Quebec,0211 Engineering managers,Labour force,3.3
December 2019,Quebec,0213 Computer and information systems managers,Employment,3.9000001
December 2019,Quebec,0213 Computer and information systems managers,Labour force,3.9000001
December 2019,Quebec,0601 Corporate sales managers,Employment,2.7
December 2019,Quebec,0601 Corporate sales managers,Labour force,2.7
December 2019,Quebec,"1123 Professional occupations in advertising, marketing and public relations",Employment,33.900002
December 2019,Quebec,"1123 Professional occupations in advertising, marketing and public relations",Labour force,33.900002
December 2019,Quebec,1253 Records management technicians,Employment,2.8
December 2019,Quebec,1253 Records management technicians,Labour force,2.8
December 2019,Quebec,2133 Electrical and electronics engineers,Employment,7.5999999
December 2019,Quebec,2133 Electrical and electronics engineers,Labour force,8.6000004
December 2019,Quebec,2147 Computer engineers (except software engineers and designers),Employment,10.1
December 2019,Quebec,2147 Computer engineers (except software engineers and designers),Labour force,10.1
December 2019,Quebec,"2148 Other professional engineers, n.e.c.",Employment,8.1000004
December 2019,Quebec,"2148 Other professional engineers, n.e.c.",Labour force,8.1000004
December 2019,Quebec,"2161 Mathematicians, statisticians and actuaries",Employment,5.5
December 2019,Quebec,"2161 Mathematicians, statisticians and actuaries",Labour force,5.5
December 2019,Quebec,2171 Information systems analysts and consultants,Employment,53.599998
December 2019,Quebec,2171 Information systems analysts and consultants,Labour force,53.599998
December 2019,Quebec,2172 Database analysts and data administrators,Employment,8
December 2019,Quebec,2172 Database analysts and data administrators,Labour force,8.1999998
December 2019,Quebec,2173 Software engineers and designers,Employment,5.3000002
December 2019,Quebec,2173 Software engineers and designers,Labour force,5.3000002
December 2019,Quebec,2174 Computer programmers and interactive media developers,Employment,51.900002
December 2019,Quebec,2174 Computer programmers and interactive media developers,Labour force,51.900002
December 2019,Quebec,2175 Web designers and developers,Employment,7.1999998
December 2019,Quebec,2175 Web designers and developers,Labour force,7.1999998
December 2019,Quebec,2241 Electrical and electronics engineering technologists and technicians,Employment,8.8000002
December 2019,Quebec,2241 Electrical and electronics engineering technologists and technicians,Labour force,8.8000002
December 2019,Quebec,2281 Computer network technicians,Employment,17
December 2019,Quebec,2281 Computer network technicians,Labour force,17.5
December 2019,Quebec,2282 User support technicians,Employment,16.1
December 2019,Quebec,2282 User support technicians,Labour force,16.1
December 2019,Quebec,2283 Information systems testing technicians,Employment,2.7
December 2019,Quebec,2283 Information systems testing technicians,Labour force,2.7
December 2019,Quebec,4163 Business development officers and marketing researchers and consultants,Employment,7.5
December 2019,Quebec,4163 Business development officers and marketing researchers and consultants,Labour force,7.5
December 2019,Quebec,5223 Graphic arts technicians,Employment,6.5999999
December 2019,Quebec,5223 Graphic arts technicians,Labour force,7.0999999
December 2019,Quebec,5224 Broadcast technicians,Employment,0
December 2019,Quebec,5224 Broadcast technicians,Labour force,0
December 2019,Quebec,5241 Graphic designers and illustrators,Employment,15.6
December 2019,Quebec,5241 Graphic designers and illustrators,Labour force,16.200001
December 2019,Quebec,7241 Electricians (except industrial and power system),Employment,26.200001
December 2019,Quebec,7241 Electricians (except industrial and power system),Labour force,27.4
December 2019,Quebec,7242 Industrial electricians,Employment,8.3000002
December 2019,Quebec,7242 Industrial electricians,Labour force,8.3000002
December 2019,Quebec,7243 Power system electricians,Employment,2.5999999
December 2019,Quebec,7243 Power system electricians,Labour force,2.5999999
December 2019,Quebec,7244 Electrical power line and cable workers,Employment,2.5999999
December 2019,Quebec,7244 Electrical power line and cable workers,Labour force,2.8
December 2019,Quebec,7245 Telecommunications line and cable workers,Employment,0
December 2019,Quebec,7245 Telecommunications line and cable workers,Labour force,0
December 2019,Quebec,7246 Telecommunications installation and repair workers,Employment,5
December 2019,Quebec,7246 Telecommunications installation and repair workers,Labour force,5.4000001
December 2019,Quebec,7247 Cable television service and maintenance technicians,Employment,0
December 2019,Quebec,7247 Cable television service and maintenance technicians,Labour force,0
December 2019,Saskatchewan,"0015 Senior managers - trade, broadcasting and other services, n.e.c.",Employment,
December 2019,Saskatchewan,"0015 Senior managers - trade, broadcasting and other services, n.e.c.",Labour force,
December 2019,Saskatchewan,0211 Engineering managers,Employment,.5
December 2019,Saskatchewan,0211 Engineering managers,Labour force,.5
December 2019,Saskatchewan,0213 Computer and information systems managers,Employment,.80000001
December 2019,Saskatchewan,0213 Computer and information systems managers,Labour force,.80000001
December 2019,Saskatchewan,0601 Corporate sales managers,Employment,0
December 2019,Saskatchewan,0601 Corporate sales managers,Labour force,0
December 2019,Saskatchewan,"1123 Professional occupations in advertising, marketing and public relations",Employment,3.7
December 2019,Saskatchewan,"1123 Professional occupations in advertising, marketing and public relations",Labour force,4
December 2019,Saskatchewan,1253 Records management technicians,Employment,0
December 2019,Saskatchewan,1253 Records management technicians,Labour force,0
December 2019,Saskatchewan,2133 Electrical and electronics engineers,Employment,0
December 2019,Saskatchewan,2133 Electrical and electronics engineers,Labour force,0
December 2019,Saskatchewan,2147 Computer engineers (except software engineers and designers),Employment,
December 2019,Saskatchewan,2147 Computer engineers (except software engineers and designers),Labour force,0
December 2019,Saskatchewan,"2148 Other professional engineers, n.e.c.",Employment,
December 2019,Saskatchewan,"2148 Other professional engineers, n.e.c.",Labour force,
December 2019,Saskatchewan,"2161 Mathematicians, statisticians and actuaries",Employment,
December 2019,Saskatchewan,"2161 Mathematicians, statisticians and actuaries",Labour force,
December 2019,Saskatchewan,2171 Information systems analysts and consultants,Employment,4
December 2019,Saskatchewan,2171 Information systems analysts and consultants,Labour force,4
December 2019,Saskatchewan,2172 Database analysts and data administrators,Employment,0
December 2019,Saskatchewan,2172 Database analysts and data administrators,Labour force,0
December 2019,Saskatchewan,2173 Software engineers and designers,Employment,
December 2019,Saskatchewan,2173 Software engineers and designers,Labour force,
December 2019,Saskatchewan,2174 Computer programmers and interactive media developers,Employment,3.0999999
December 2019,Saskatchewan,2174 Computer programmers and interactive media developers,Labour force,3.0999999
December 2019,Saskatchewan,2175 Web designers and developers,Employment,
December 2019,Saskatchewan,2175 Web designers and developers,Labour force,
December 2019,Saskatchewan,2241 Electrical and electronics engineering technologists and technicians,Employment,0
December 2019,Saskatchewan,2241 Electrical and electronics engineering technologists and technicians,Labour force,0
December 2019,Saskatchewan,2281 Computer network technicians,Employment,.89999998
December 2019,Saskatchewan,2281 Computer network technicians,Labour force,.89999998
December 2019,Saskatchewan,2282 User support technicians,Employment,1.8
December 2019,Saskatchewan,2282 User support technicians,Labour force,1.8
December 2019,Saskatchewan,2283 Information systems testing technicians,Employment,0
December 2019,Saskatchewan,2283 Information systems testing technicians,Labour force,0
December 2019,Saskatchewan,4163 Business development officers and marketing researchers and consultants,Employment,.5
December 2019,Saskatchewan,4163 Business development officers and marketing researchers and consultants,Labour force,.5
December 2019,Saskatchewan,5223 Graphic arts technicians,Employment,
December 2019,Saskatchewan,5223 Graphic arts technicians,Labour force,
December 2019,Saskatchewan,5224 Broadcast technicians,Employment,
December 2019,Saskatchewan,5224 Broadcast technicians,Labour force,
December 2019,Saskatchewan,5241 Graphic designers and illustrators,Employment,1.1
December 2019,Saskatchewan,5241 Graphic designers and illustrators,Labour force,1.1
December 2019,Saskatchewan,7241 Electricians (except industrial and power system),Employment,2.2
December 2019,Saskatchewan,7241 Electricians (except industrial and power system),Labour force,2.5
December 2019,Saskatchewan,7242 Industrial electricians,Employment,1.3
December 2019,Saskatchewan,7242 Industrial electricians,Labour force,1.3
December 2019,Saskatchewan,7243 Power system electricians,Employment,0
December 2019,Saskatchewan,7243 Power system electricians,Labour force,0
December 2019,Saskatchewan,7244 Electrical power line and cable workers,Employment,.80000001
December 2019,Saskatchewan,7244 Electrical power line and cable workers,Labour force,.80000001
December 2019,Saskatchewan,7245 Telecommunications line and cable workers,Employment,0
December 2019,Saskatchewan,7245 Telecommunications line and cable workers,Labour force,0
December 2019,Saskatchewan,7246 Telecommunications installation and repair workers,Employment,.80000001
December 2019,Saskatchewan,7246 Telecommunications installation and repair workers,Labour force,.80000001
December 2019,Saskatchewan,7247 Cable television service and maintenance technicians,Employment,
December 2019,Saskatchewan,7247 Cable television service and maintenance technicians,Labour force,
November 2019,Alberta,"0015 Senior managers - trade, broadcasting and other services, n.e.c.",Employment,
November 2019,Alberta,"0015 Senior managers - trade, broadcasting and other services, n.e.c.",Labour force,
November 2019,Alberta,0211 Engineering managers,Employment,7.0999999
November 2019,Alberta,0211 Engineering managers,Labour force,7.0999999
November 2019,Alberta,0213 Computer and information systems managers,Employment,3.5999999
November 2019,Alberta,0213 Computer and information systems managers,Labour force,4.5
November 2019,Alberta,0601 Corporate sales managers,Employment,2.0999999
November 2019,Alberta,0601 Corporate sales managers,Labour force,2.0999999
November 2019,Alberta,"1123 Professional occupations in advertising, marketing and public relations",Employment,13.9
November 2019,Alberta,"1123 Professional occupations in advertising, marketing and public relations",Labour force,14.6
November 2019,Alberta,1253 Records management technicians,Employment,0
November 2019,Alberta,1253 Records management technicians,Labour force,0
November 2019,Alberta,2133 Electrical and electronics engineers,Employment,4.6999998
November 2019,Alberta,2133 Electrical and electronics engineers,Labour force,4.6999998
November 2019,Alberta,2147 Computer engineers (except software engineers and designers),Employment,
November 2019,Alberta,2147 Computer engineers (except software engineers and designers),Labour force,
November 2019,Alberta,"2148 Other professional engineers, n.e.c.",Employment,5.3000002
November 2019,Alberta,"2148 Other professional engineers, n.e.c.",Labour force,5.3000002
November 2019,Alberta,"2161 Mathematicians, statisticians and actuaries",Employment,
November 2019,Alberta,"2161 Mathematicians, statisticians and actuaries",Labour force,0
November 2019,Alberta,2171 Information systems analysts and consultants,Employment,23.700001
November 2019,Alberta,2171 Information systems analysts and consultants,Labour force,25
November 2019,Alberta,2172 Database analysts and data administrators,Employment,5.9000001
November 2019,Alberta,2172 Database analysts and data administrators,Labour force,5.9000001
November 2019,Alberta,2173 Software engineers and designers,Employment,4.3000002
November 2019,Alberta,2173 Software engineers and designers,Labour force,4.3000002
November 2019,Alberta,2174 Computer programmers and interactive media developers,Employment,12.9
November 2019,Alberta,2174 Computer programmers and interactive media developers,Labour force,12.9
November 2019,Alberta,2175 Web designers and developers,Employment,0
November 2019,Alberta,2175 Web designers and developers,Labour force,0
November 2019,Alberta,2241 Electrical and electronics engineering technologists and technicians,Employment,2.5
November 2019,Alberta,2241 Electrical and electronics engineering technologists and technicians,Labour force,2.5
November 2019,Alberta,2281 Computer network technicians,Employment,3.2
November 2019,Alberta,2281 Computer network technicians,Labour force,3.2
November 2019,Alberta,2282 User support technicians,Employment,8.3999996
November 2019,Alberta,2282 User support technicians,Labour force,8.3999996
November 2019,Alberta,2283 Information systems testing technicians,Employment,0
November 2019,Alberta,2283 Information systems testing technicians,Labour force,0
November 2019,Alberta,4163 Business development officers and marketing researchers and consultants,Employment,3.5999999
November 2019,Alberta,4163 Business development officers and marketing researchers and consultants,Labour force,3.5999999
November 2019,Alberta,5223 Graphic arts technicians,Employment,
November 2019,Alberta,5223 Graphic arts technicians,Labour force,
November 2019,Alberta,5224 Broadcast technicians,Employment,
November 2019,Alberta,5224 Broadcast technicians,Labour force,
November 2019,Alberta,5241 Graphic designers and illustrators,Employment,6.9000001
November 2019,Alberta,5241 Graphic designers and illustrators,Labour force,6.9000001
November 2019,Alberta,7241 Electricians (except industrial and power system),Employment,16.5
November 2019,Alberta,7241 Electricians (except industrial and power system),Labour force,18.1
November 2019,Alberta,7242 Industrial electricians,Employment,3.5999999
November 2019,Alberta,7242 Industrial electricians,Labour force,4.8000002
November 2019,Alberta,7243 Power system electricians,Employment,0
November 2019,Alberta,7243 Power system electricians,Labour force,0
November 2019,Alberta,7244 Electrical power line and cable workers,Employment,1.7
November 2019,Alberta,7244 Electrical power line and cable workers,Labour force,1.7
November 2019,Alberta,7245 Telecommunications line and cable workers,Employment,0
November 2019,Alberta,7245 Telecommunications line and cable workers,Labour force,0
November 2019,Alberta,7246 Telecommunications installation and repair workers,Employment,1.9
November 2019,Alberta,7246 Telecommunications installation and repair workers,Labour force,1.9
November 2019,Alberta,7247 Cable television service and maintenance technicians,Employment,
November 2019,Alberta,7247 Cable television service and maintenance technicians,Labour force,
November 2019,British Columbia,"0015 Senior managers - trade, broadcasting and other services, n.e.c.",Employment,
November 2019,British Columbia,"0015 Senior managers - trade, broadcasting and other services, n.e.c.",Labour force,
November 2019,British Columbia,0211 Engineering managers,Employment,3
November 2019,British Columbia,0211 Engineering managers,Labour force,3
November 2019,British Columbia,0213 Computer and information systems managers,Employment,10.6
November 2019,British Columbia,0213 Computer and information systems managers,Labour force,10.6
November 2019,British Columbia,0601 Corporate sales managers,Employment,2.4000001
November 2019,British Columbia,0601 Corporate sales managers,Labour force,2.4000001
November 2019,British Columbia,"1123 Professional occupations in advertising, marketing and public relations",Employment,23
November 2019,British Columbia,"1123 Professional occupations in advertising, marketing and public relations",Labour force,23
November 2019,British Columbia,1253 Records management technicians,Employment,0
November 2019,British Columbia,1253 Records management technicians,Labour force,0
November 2019,British Columbia,2133 Electrical and electronics engineers,Employment,5.5
November 2019,British Columbia,2133 Electrical and electronics engineers,Labour force,5.5
November 2019,British Columbia,2147 Computer engineers (except software engineers and designers),Employment,2.4000001
November 2019,British Columbia,2147 Computer engineers (except software engineers and designers),Labour force,3.3
November 2019,British Columbia,"2148 Other professional engineers, n.e.c.",Employment,4.0999999
November 2019,British Columbia,"2148 Other professional engineers, n.e.c.",Labour force,4.0999999
November 2019,British Columbia,"2161 Mathematicians, statisticians and actuaries",Employment,0
November 2019,British Columbia,"2161 Mathematicians, statisticians and actuaries",Labour force,0
November 2019,British Columbia,2171 Information systems analysts and consultants,Employment,20.6
November 2019,British Columbia,2171 Information systems analysts and consultants,Labour force,22.1
November 2019,British Columbia,2172 Database analysts and data administrators,Employment,10.7
November 2019,British Columbia,2172 Database analysts and data administrators,Labour force,10.7
November 2019,British Columbia,2173 Software engineers and designers,Employment,10.3
November 2019,British Columbia,2173 Software engineers and designers,Labour force,10.3
November 2019,British Columbia,2174 Computer programmers and interactive media developers,Employment,16.6
November 2019,British Columbia,2174 Computer programmers and interactive media developers,Labour force,18.299999
November 2019,British Columbia,2175 Web designers and developers,Employment,5.5
November 2019,British Columbia,2175 Web designers and developers,Labour force,5.5
November 2019,British Columbia,2241 Electrical and electronics engineering technologists and technicians,Employment,3.5999999
November 2019,British Columbia,2241 Electrical and electronics engineering technologists and technicians,Labour force,4.0999999
November 2019,British Columbia,2281 Computer network technicians,Employment,7.5
November 2019,British Columbia,2281 Computer network technicians,Labour force,7.5
November 2019,British Columbia,2282 User support technicians,Employment,13.1
November 2019,British Columbia,2282 User support technicians,Labour force,13.1
November 2019,British Columbia,2283 Information systems testing technicians,Employment,1.9
November 2019,British Columbia,2283 Information systems testing technicians,Labour force,1.9
November 2019,British Columbia,4163 Business development officers and marketing researchers and consultants,Employment,3.5
November 2019,British Columbia,4163 Business development officers and marketing researchers and consultants,Labour force,3.5
November 2019,British Columbia,5223 Graphic arts technicians,Employment,1.8
November 2019,British Columbia,5223 Graphic arts technicians,Labour force,1.8
November 2019,British Columbia,5224 Broadcast technicians,Employment,0
November 2019,British Columbia,5224 Broadcast technicians,Labour force,0
November 2019,British Columbia,5241 Graphic designers and illustrators,Employment,16.799999
November 2019,British Columbia,5241 Graphic designers and illustrators,Labour force,18.299999
November 2019,British Columbia,7241 Electricians (except industrial and power system),Employment,14.2
November 2019,British Columbia,7241 Electricians (except industrial and power system),Labour force,15.6
November 2019,British Columbia,7242 Industrial electricians,Employment,5.8000002
November 2019,British Columbia,7242 Industrial electricians,Labour force,5.8000002
November 2019,British Columbia,7243 Power system electricians,Employment,0
November 2019,British Columbia,7243 Power system electricians,Labour force,0
November 2019,British Columbia,7244 Electrical power line and cable workers,Employment,2.8
November 2019,British Columbia,7244 Electrical power line and cable workers,Labour force,2.8
November 2019,British Columbia,7245 Telecommunications line and cable workers,Employment,1.8
November 2019,British Columbia,7245 Telecommunications line and cable workers,Labour force,1.8
November 2019,British Columbia,7246 Telecommunications installation and repair workers,Employment,3.7
November 2019,British Columbia,7246 Telecommunications installation and repair workers,Labour force,3.7
November 2019,British Columbia,7247 Cable television service and maintenance technicians,Employment,0
November 2019,British Columbia,7247 Cable television service and maintenance technicians,Labour force,0
November 2019,Canada,"0015 Senior managers - trade, broadcasting and other services, n.e.c.",Employment,
November 2019,Canada,"0015 Senior managers - trade, broadcasting and other services, n.e.c.",Labour force,
November 2019,Canada,0211 Engineering managers,Employment,25
November 2019,Canada,0211 Engineering managers,Labour force,25.1
November 2019,Canada,0213 Computer and information systems managers,Employment,65.199997
November 2019,Canada,0213 Computer and information systems managers,Labour force,67.900002
November 2019,Canada,0601 Corporate sales managers,Employment,12.1
November 2019,Canada,0601 Corporate sales managers,Labour force,13.4
November 2019,Canada,"1123 Professional occupations in advertising, marketing and public relations",Employment,160.5
November 2019,Canada,"1123 Professional occupations in advertising, marketing and public relations",Labour force,165.39999
November 2019,Canada,1253 Records management technicians,Employment,7.5
November 2019,Canada,1253 Records management technicians,Labour force,7.5
November 2019,Canada,2133 Electrical and electronics engineers,Employment,44.900002
November 2019,Canada,2133 Electrical and electronics engineers,Labour force,46.700001
November 2019,Canada,2147 Computer engineers (except software engineers and designers),Employment,16.200001
November 2019,Canada,2147 Computer engineers (except software engineers and designers),Labour force,18
November 2019,Canada,"2148 Other professional engineers, n.e.c.",Employment,34.700001
November 2019,Canada,"2148 Other professional engineers, n.e.c.",Labour force,34.700001
November 2019,Canada,"2161 Mathematicians, statisticians and actuaries",Employment,14.2
November 2019,Canada,"2161 Mathematicians, statisticians and actuaries",Labour force,14.7
November 2019,Canada,2171 Information systems analysts and consultants,Employment,251.10001
November 2019,Canada,2171 Information systems analysts and consultants,Labour force,259.39999
November 2019,Canada,2172 Database analysts and data administrators,Employment,59
November 2019,Canada,2172 Database analysts and data administrators,Labour force,59.299999
November 2019,Canada,2173 Software engineers and designers,Employment,67.5
November 2019,Canada,2173 Software engineers and designers,Labour force,67.599998
November 2019,Canada,2174 Computer programmers and interactive media developers,Employment,168.2
November 2019,Canada,2174 Computer programmers and interactive media developers,Labour force,172.8
November 2019,Canada,2175 Web designers and developers,Employment,29.5
November 2019,Canada,2175 Web designers and developers,Labour force,31
November 2019,Canada,2241 Electrical and electronics engineering technologists and technicians,Employment,30.5
November 2019,Canada,2241 Electrical and electronics engineering technologists and technicians,Labour force,31.1
November 2019,Canada,2281 Computer network technicians,Employment,50
November 2019,Canada,2281 Computer network technicians,Labour force,52
November 2019,Canada,2282 User support technicians,Employment,95.800003
November 2019,Canada,2282 User support technicians,Labour force,97
November 2019,Canada,2283 Information systems testing technicians,Employment,10.1
November 2019,Canada,2283 Information systems testing technicians,Labour force,10.1
November 2019,Canada,4163 Business development officers and marketing researchers and consultants,Employment,26
November 2019,Canada,4163 Business development officers and marketing researchers and consultants,Labour force,26.5
November 2019,Canada,5223 Graphic arts technicians,Employment,8.1000004
November 2019,Canada,5223 Graphic arts technicians,Labour force,8.3999996
November 2019,Canada,5224 Broadcast technicians,Employment,2.4000001
November 2019,Canada,5224 Broadcast technicians,Labour force,2.4000001
November 2019,Canada,5241 Graphic designers and illustrators,Employment,79.699997
November 2019,Canada,5241 Graphic designers and illustrators,Labour force,81.5
November 2019,Canada,7241 Electricians (except industrial and power system),Employment,98.300003
November 2019,Canada,7241 Electricians (except industrial and power system),Labour force,103.3
November 2019,Canada,7242 Industrial electricians,Employment,35.400002
November 2019,Canada,7242 Industrial electricians,Labour force,39.099998
November 2019,Canada,7243 Power system electricians,Employment,4.3000002
November 2019,Canada,7243 Power system electricians,Labour force,4.6999998
November 2019,Canada,7244 Electrical power line and cable workers,Employment,20.799999
November 2019,Canada,7244 Electrical power line and cable workers,Labour force,20.9
November 2019,Canada,7245 Telecommunications line and cable workers,Employment,6.5999999
November 2019,Canada,7245 Telecommunications line and cable workers,Labour force,6.5999999
November 2019,Canada,7246 Telecommunications installation and repair workers,Employment,22.799999
November 2019,Canada,7246 Telecommunications installation and repair workers,Labour force,22.799999
November 2019,Canada,7247 Cable television service and maintenance technicians,Employment,4.4000001
November 2019,Canada,7247 Cable television service and maintenance technicians,Labour force,4.4000001
November 2019,Manitoba,"0015 Senior managers - trade, broadcasting and other services, n.e.c.",Employment,
November 2019,Manitoba,"0015 Senior managers - trade, broadcasting and other services, n.e.c.",Labour force,
November 2019,Manitoba,0211 Engineering managers,Employment,1.1
November 2019,Manitoba,0211 Engineering managers,Labour force,1.1
November 2019,Manitoba,0213 Computer and information systems managers,Employment,1.6
November 2019,Manitoba,0213 Computer and information systems managers,Labour force,1.6
November 2019,Manitoba,0601 Corporate sales managers,Employment,0
November 2019,Manitoba,0601 Corporate sales managers,Labour force,0
November 2019,Manitoba,"1123 Professional occupations in advertising, marketing and public relations",Employment,3.4000001
November 2019,Manitoba,"1123 Professional occupations in advertising, marketing and public relations",Labour force,3.4000001
November 2019,Manitoba,1253 Records management technicians,Employment,0
November 2019,Manitoba,1253 Records management technicians,Labour force,0
November 2019,Manitoba,2133 Electrical and electronics engineers,Employment,.69999999
November 2019,Manitoba,2133 Electrical and electronics engineers,Labour force,.69999999
November 2019,Manitoba,2147 Computer engineers (except software engineers and designers),Employment,0
November 2019,Manitoba,2147 Computer engineers (except software engineers and designers),Labour force,0
November 2019,Manitoba,"2148 Other professional engineers, n.e.c.",Employment,1.2
November 2019,Manitoba,"2148 Other professional engineers, n.e.c.",Labour force,1.2
November 2019,Manitoba,"2161 Mathematicians, statisticians and actuaries",Employment,.60000002
November 2019,Manitoba,"2161 Mathematicians, statisticians and actuaries",Labour force,.60000002
November 2019,Manitoba,2171 Information systems analysts and consultants,Employment,2.5999999
November 2019,Manitoba,2171 Information systems analysts and consultants,Labour force,2.5999999
November 2019,Manitoba,2172 Database analysts and data administrators,Employment,.89999998
November 2019,Manitoba,2172 Database analysts and data administrators,Labour force,.89999998
November 2019,Manitoba,2173 Software engineers and designers,Employment,1.1
November 2019,Manitoba,2173 Software engineers and designers,Labour force,1.1
